Treatment	Week	NND	Time in School	Bearing	Elevation	Speed
Sham	1	0.300212	100	122.7016	-27.5392	2.482693906
Sham	1	0.25846	100	31.4098	-41.1633	1.014036448
Sham	1	0.34478	100	22.1159	6.9454	0.140433228
Sham	1	0.47253	100	29.8467	-23.2484	0.053134198
Sham	1	0.70296	65	32.4174	-1.2895	0.074240101
Sham	1	0.49344	100	19.9215	17.0111	0.066587973
Sham	1	0.89323	100	172.9482	5.2198	0.054821901
Sham	2	0.51386	100	42.0423	15.0407	2.415054166
Sham	2	0.63155	100	137.4953	2.637	1.71598939
Sham	2	0.67264	100	67.9974	1.2662	2.608973338
Sham	2	0.51125	100	30.3634	14.5862	1.982451808
Sham	2	0.67269	100	30.3646	7.6115	1.866710258
Sham	2	0.89593	100	56.9681	-39.9291	2.063428395
Sham	2	0.64053	100	97.9634	2.133	1.798609979
Sham	2	0.69137	100	176.6821	11.5056	2.395451773
Sham	2	0.34847	100	173.3642	-38.0274	1.95895572
Sham	2	0.68877	100	71.3871	-17.5866	1.505761406
Sham	2	0.52335	100	110.3221	-29.4879	2.407381217
Sham	2	0.70405	100	5.0799	4.0809	1.740617935
Sham	2	0.50521	100	83.1047	23.6505	2.474453428
Sham	2	0.38465	100	173.2916	-37.1666	1.900350444
Sham	2	0.43505	100	45.4455	25.5643	1.896937961
Sham	2	0.55601	100	126.446	-28.934	2.339343751
Sham	2	0.55937	100	56.8752	-17.1458	1.751779571
Sham	2	0.52031	100	131.7122	5.906	2.57529845
Sham	2	0.5866	100	79.48	18.3911	2.037358902
Sham	2	0.44473	100	176.6623	-25.4774	2.062929835
Sham	2	0.6648	100	54.7927	38.9	2.243588505
Sham	2	0.69363	100	0.4317	0.1154	1.729829181
Sham	2	0.59788	100	13.6957	-42.0417	2.680131376
Sham	2	0.42914	100	65.5161	41.3345	2.32559376
Sham	2	0.71603	100	135.8377	-12.1679	2.040191164
Sham	4	0.57278	100	167.232	10.8439	3.306893371
Sham	4	0.74615	100	121.2543	-23.1299	2.61159162
Sham	4	0.5442	100	103.0295	-1.9535	2.641570818
Sham	4	1.06008	100	45.1824	36.3288	3.192410676
Sham	4	0.61461	100	52.2707	22.2552	2.463556
Sham	4	0.58722	100	123.4051	-44.8852	3.167855105
Sham	4	1.44562	87	49.4347	-34.7363	2.211500258
Sham	4	0.77062	100	91.7883	-24.6501	2.535452172
Sham	4	0.43515	100	177.2073	-50.8356	2.852084315
Sham	4	0.64895	100	35.2501	-9.2361	2.78442669
Sham	4	0.79957	100	12.4878	37.9953	3.503600088
Sham	4	0.69642	100	177.576	33.9	2.60792266
Sham	4	0.51612	100	27.2245	-48.6408	2.26132952
Sham	4	0.42794	100	95.0859	31.4046	3.127612658
Sham	4	0.53673	100	68.4899	-4.904	2.503499276
Sham	4	0.58139	100	93.0183	6.5466	3.209119905
Sham	4	0.639	100	134.061	15.0035	2.747762337
Sham	4	0.51584	100	0.5125	33.2834	2.333395224
Sham	4	0.54917	100	76.6796	-52.7447	3.002527584
Sham	4	0.58071	100	104.9577	30.8587	2.692618692
Sham	4	0.61065	100	28.4271	-15.0761	3.322148588
Sham	4	1.35601	90	32.364	9.1117	2.548880803
Sham	4	0.60879	100	20.1655	-10.1833	1.967819962
Sham	4	0.52229	100	175.4271	-2.3135	3.098554503
Sham	4	0.782076923	100	21.259	-9.8501	2.486285587
Sham	8	0.584538462	100	46.1868	7.6423	4.267123724
Sham	8	0.844246154	100	34.3757	-8.5545	3.672788562
Sham	8	0.827630769	100	22.4501	-32.3685	3.397359091
Sham	8	0.708615385	100	21.5531	26.1698	3.184326274
Sham	8	0.779123077	100	48.9718	29.436	2.766688219
Sham	8	0.708607692	100	122.926	5.09	4.190291215
Sham	8	0.640792308	100	114.4026	6.2287	4.296655717
Sham	8	0.817392308	100	166.6285	14.7063	5.03747704
Sham	8	0.880653846	100	152.7886	-18.3207	3.53299962
Sham	8	1.7523	83	176.1453	8.8442	3.801575139
Sham	8	0.726676923	100	98.3623	-4.7463	3.75980424
Sham	8	0.649069231	100	68.6296	-3.4895	4.829350263
Sham	8	0.772161538	100	57.3806	-14.2936	4.86554739
Sham	8	0.594115385	100	154.6089	-16.7591	3.231291883
Sham	8	0.950392308	95	62.4391	4.3735	4.417345984
Sham	8	0.474061538	100	72.7616	13.5623	3.275195859
Sham	8	0.696530769	100	129.1727	-12.2995	5.369169689
Sham	8	0.634207692	100	158.4551	33.8058	4.407748296
Sham	8	0.710846154	100	47.3389	26.2027	3.970771632
Sham	8	0.726923077	100	104.286	-12.9117	4.558703535
Sham	8	0.786176923	100	13.9269	-28.9844	3.234961725
Sham	8	0.743846154	100	26.6664	-30.1945	3.801309408
Sham	8	0.110446154	100	63.1979	-29.1439	3.731171766
Sham	8	1.042830769	92	137.1869	-6.531	2.588873824
Sham	8	1.3123	94	112.257	-3.871	2.659711629
